trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.8, 'e': 0.9099999999999999}",20,8,-24.083940476134636,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.9049999999999999}",20,0,-55.16147866643369,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,8,-85.38750731912282,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 1}",1
21,False,"{'a': 0.8, 'e': 0.8949999999999999}",20,0,-63.15484008146666,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.8899999999999999}",30,0,-87.43198037524861,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.8, 'e': 0.8849999999999999}",20,0,-76.2929795715499,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.8799999999999999}",20,0,-148.25517624012267,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.8749999999999999}",30,0,-211.52158403334926,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
26,False,"{'a': 0.8, 'e': 0.8699999999999999}",20,0,-54.07613664405982,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.8649999999999999}",25,0,-166.4026835933554,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
28,False,"{'a': 0.8, 'e': 0.8599999999999999}",35,0,-123.66211533096447,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.8, 'e': 0.8549999999999999}",20,0,-101.27629718498652,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.8499999999999999}",25,0,-61.76128309263811,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
